round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.1359167148640833,0.056880195492636024,0.07876737440538345,0.039817392875305536,0.13371530580613278,0.1359167148640833,0.07168268983448957,0.04614314275749023,0.9177761180825085,True
2,150,30.017351069982652,0.17061885482938113,0.03946443040165707,0.0798649495301079,0.03833284852893841,0.09103476361007425,0.17061885482938113,0.08002391323854662,0.07662127297554766,0.9137914368528447,True
3,150,30.017351069982652,0.18045112781954886,0.03904129421238553,0.07826406775728043,0.036735676867418535,0.09649108758765544,0.18045112781954886,0.08827287625653744,0.08093005574339039,0.9093091135067461,True
4,150,30.017351069982652,0.20011567379988432,0.03412705686487589,0.08287179487179487,0.044137500216904685,0.08845176910351447,0.20011567379988432,0.11182887897005699,0.09803106566431069,0.9041233900846319,True
5,150,30.017351069982652,0.205320994794679,0.031082707783864204,0.07958974358974359,0.04470554346348351,0.08025101613530994,0.205320994794679,0.11539671470984345,0.08910154552991296,0.8982411638612418,True
6,150,30.017351069982652,0.21341816078658185,0.029274824212926,0.07789743589743589,0.03892647443364157,0.07575910659961917,0.21341816078658185,0.1032673057025187,0.08493800572469237,0.8918971392819652,True
7,150,30.017351069982652,0.21573163678426838,0.02732655198079131,0.07697435897435898,0.031261021672707834,0.07113341132393575,0.21573163678426838,0.08600865012393681,0.07205666869689163,0.8853840995374196,True
8,150,30.017351069982652,0.21573163678426838,0.016691278471383183,0.07651282051282052,0.02740430534126809,0.0470618753892383,0.21573163678426838,0.07726777821786117,0.05528942460680091,0.879483172620773,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.03921765654400084,0.8746229905686924,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.023601229520737607,0.8710886681600897,True
