round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.1359167148640833,0.056880195492636024,0.07876737440538345,0.039817392875305536,0.13371530580613278,0.1359167148640833,0.07168268983448957,0.04614331578418932,0.9177762362294061,True
2,150,30.017351069982652,0.17061885482938113,0.03946443040165707,0.0798649495301079,0.03833284852893841,0.09103476361007425,0.17061885482938113,0.08002391323854662,0.07662217773630689,0.9137917309166316,True
3,150,30.017351069982652,0.18045112781954886,0.03896619136610427,0.07826406775728043,0.03674040098883822,0.09637161835533463,0.18045112781954886,0.08828814499109408,0.08093200194363377,0.9093098417488116,True
4,150,30.017351069982652,0.20011567379988432,0.03412705686487589,0.08287179487179487,0.044137500216904685,0.08845176910351447,0.20011567379988432,0.11182887897005699,0.09803234525951367,0.9041239312490501,True
5,150,30.017351069982652,0.205320994794679,0.031082707783864204,0.07958974358974359,0.04470554346348351,0.08025101613530994,0.205320994794679,0.11539671470984345,0.08910438922993912,0.8982422721697264,True
6,150,30.017351069982652,0.21341816078658185,0.029274824212926,0.07789743589743589,0.03892647443364157,0.07575910659961917,0.21341816078658185,0.1032673057025187,0.08494145045689314,0.8918986865039028,True
7,150,30.017351069982652,0.21573163678426838,0.02732655198079131,0.07697435897435898,0.031261021672707834,0.07113341132393575,0.21573163678426838,0.08600865012393681,0.07206123519609124,0.8853862593521664,True
8,150,30.017351069982652,0.21573163678426838,0.016691278471383183,0.07651282051282052,0.02740430534126809,0.0470618753892383,0.21573163678426838,0.07726777821786117,0.05529960202233097,0.8794858965131326,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.03923304474650261,0.8746259429941803,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.02363004909904793,0.8710915015353798,True
