round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.031231925968768073,0.016314302693813752,0.07743589743589743,0.005509138344715216,0.03245770833541191,0.031231925968768073,0.003998778560994772,0.05884164079653176,0.9227837241852803,True
2,150,30.017351069982652,0.06304222093695779,0.02748913443902745,0.09026429980276134,0.019942913582784907,0.06298468017561579,0.06304222093695779,0.0351489352564502,0.02683159894271694,0.9194227160070274,True
3,150,30.017351069982652,0.18565644881434354,0.04957551600039582,0.09635897435897435,0.05286334891121843,0.08335381705591631,0.18565644881434354,0.0883366010265438,0.09582290029236179,0.9153700828951435,True
4,150,30.017351069982652,0.19606709080393292,0.030586243668187577,0.07846153846153846,0.04349025335691336,0.07852190838646957,0.19606709080393292,0.11081113354753326,0.10001315812091735,0.9101880318754548,True
5,150,30.017351069982652,0.21052631578947367,0.0290007131533177,0.07717948717948718,0.03932777286383672,0.07510589962225286,0.21052631578947367,0.10401902973062889,0.10687083229982763,0.9038387103252018,True
6,150,30.017351069982652,0.21226142278773857,0.02452627541235136,0.0756923076923077,0.030521866159509078,0.064760356232708,0.21226142278773857,0.08422664581531404,0.09250044696002835,0.8963846438469169,True
7,150,30.017351069982652,0.21688837478311163,0.01674181883119782,0.07692307692307693,0.027498716726552762,0.04720437640375326,0.21688837478311163,0.07753397573276155,0.07900111303552167,0.8884665861932937,True
8,150,30.017351069982652,0.21688837478311163,0.016693376068376068,0.07692307692307693,0.027433336991111598,0.047067789666473875,0.21688837478311163,0.07734963437343495,0.05807910184335544,0.8809789091332971,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.036101309661233684,0.8748638052267128,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.024759616601529175,0.8706767429999723,True
