round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.031231925968768073,0.019419598489365933,0.07743589743589743,0.005510440672289497,0.03946718316363359,0.031231925968768073,0.004011228387231183,0.058822299024664376,0.9228006704381081,True
2,150,30.017351069982652,0.06015037593984962,0.02719731532342296,0.08775936883629193,0.019173086070938893,0.062493592313151,0.06015037593984962,0.03373041049553107,0.029686368601111197,0.9194616192663612,True
3,150,30.017351069982652,0.18854829381145172,0.04680846019944407,0.099069033530572,0.05112682541492944,0.08549491142895604,0.18854829381145172,0.08717371587646541,0.09879792027903676,0.9153856932935583,True
4,150,30.017351069982652,0.19491035280508964,0.030563916425927727,0.07805128205128205,0.04329697335490083,0.07861361496344041,0.19491035280508964,0.11044817053886069,0.09899646394976032,0.910245352783074,True
5,150,30.017351069982652,0.21110468478889532,0.028993078785875263,0.0774871794871795,0.039656171486989224,0.07518282863689381,0.21110468478889532,0.10486663785239803,0.1054801229428459,0.9038833069727487,True
6,150,30.017351069982652,0.21226142278773857,0.02427177277237253,0.0756923076923077,0.030536829471065955,0.0642034812577122,0.21226142278773857,0.08428321712834126,0.09301168150109594,0.8963872454131032,True
7,150,30.017351069982652,0.21688837478311163,0.016751541141785044,0.07692307692307693,0.027511830086937382,0.04723178893360444,0.21688837478311163,0.07757094949324449,0.07932861851708195,0.8883834047306177,True
8,150,30.017351069982652,0.21688837478311163,0.016693376068376068,0.07692307692307693,0.027433336991111598,0.047067789666473875,0.21688837478311163,0.07734963437343495,0.05836410692501372,0.8807993340516375,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.036251349884213004,0.8746058286894474,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.024226980679224117,0.8703525960825852,True
