bin_lower,bin_upper,count,mean_confidence,accuracy
0.0,0.1,0,,
0.1,0.2,207,0.19162288726885232,0.13043478260869565
0.2,0.30000000000000004,1237,0.24364658036550318,0.20937752627324172
0.30000000000000004,0.4,685,0.3324357926286034,0.3854014598540146
0.4,0.5,45,0.43511398882484087,0.3333333333333333
0.5,0.6000000000000001,5,0.5151359730154615,0.2
0.6000000000000001,0.7000000000000001,6,0.682119399282113,1.0
0.7000000000000001,0.8,93,0.7645562722433698,1.0
0.8,0.9,30,0.8147790436128854,1.0
0.9,1.0,0,,
