method,seed,category,support,support_share,predicted_count,predicted_share,precision,recall,f1,never_predicted,zero_recall
fedavg,42,Bonus,65,0.028162911611785094,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Education,151,0.06542461005199307,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Food,500,0.21663778162911612,679,0.2941941074523397,0.2268041237113402,0.308,0.26123833757421544,False,False
fedavg,42,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Investment,70,0.030329289428076257,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Other,108,0.04679376083188908,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Rent,401,0.17374350086655113,1626,0.7045060658578857,0.17158671586715868,0.6957605985037406,0.2752836704489393,False,False
fedavg,42,Salary,67,0.02902946273830156,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Savings,57,0.024696707105719237,0,0.0,0.0,0.0,0.0,True,True
fedavg,42,Travel,294,0.12738301559792028,3,0.0012998266897746968,0.0,0.0,0.0,False,True
fedavg,42,Utilities,233,0.1009532062391681,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Bonus,65,0.028162911611785094,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Education,151,0.06542461005199307,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Food,500,0.21663778162911612,676,0.292894280762565,0.22781065088757396,0.308,0.2619047619047619,False,False
fedprox,42,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
fedprox,42,Investment,70,0.030329289428076257,0,0.0,0.0,0.0,0.0,True,True
