method,category,seeds,support_mean,support_std,support_share_mean,support_share_std,predicted_count_mean,predicted_count_std,predicted_share_mean,predicted_share_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,never_predicted_seeds,zero_recall_seeds
fedavg,Bonus,3,65.0,0.0,0.028162911611785094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Education,3,151.0,0.0,0.06542461005199307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Entertainment,3,198.0,0.0,0.08578856152512998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Food,3,500.0,0.0,0.21663778162911615,3.3993498887762956e-17,736.0,517.858088669087,0.31889081455805895,0.22437525505593023,0.22545809311127674,0.011990470411576663,0.34,0.2515313101782758,0.2477366017163198,0.10014864526947916,0,0
fedavg,Freelance,3,71.0,0.0,0.03076256499133449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Health,3,93.0,0.0,0.0402946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Investment,3,70.0,0.0,0.03032928942807626,4.2491873609703695e-18,25.0,43.30127018922193,0.010831889081455806,0.018761382231032037,0.06666666666666667,0.11547005383792516,0.07142857142857142,0.12371791482634838,0.06896551724137931,0.11945177983233636,2,2
fedavg,Other,3,108.0,0.0,0.04679376083188908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Rent,3,401.0,0.0,0.17374350086655113,0.0,1203.3333333333333,1057.3785194211832,0.5213749277874061,0.45813627357936876,0.11717541066539698,0.10156278829624071,0.5286783042394014,0.46806458788289557,0.19155157987710977,0.16632515296700806,1,1
fedavg,Salary,3,67.0,0.0,0.02902946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Savings,3,57.0,0.0,0.024696707105719237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedavg,Travel,3,294.0,0.0,0.12738301559792028,0.0,1.0,1.7320508075688772,0.00043327556325823227,0.0007504552892412814,0.0,0.0,0.0,0.0,0.0,0.0,2,3
fedavg,Utilities,3,233.0,0.0,0.1009532062391681,0.0,342.6666666666667,593.5160767269352,0.14846909300982092,0.25715601244667907,0.028858625162127106,0.04998460501738978,0.12732474964234622,0.22053293544153085,0.04705260375363468,0.08149750032970134,2,2
fedprox,Bonus,3,65.0,0.0,0.028162911611785094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Education,3,151.0,0.0,0.06542461005199307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Entertainment,3,198.0,0.0,0.08578856152512998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Food,3,500.0,0.0,0.21663778162911615,3.3993498887762956e-17,730.0,514.1313061854919,0.3162911611785096,0.22276053127620965,0.2238641711714738,0.014146725438072492,0.336,0.24918266392347604,0.2456205354301196,0.10154967311630686,0,0
fedprox,Freelance,3,71.0,0.0,0.03076256499133449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Health,3,93.0,0.0,0.0402946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Investment,3,70.0,0.0,0.03032928942807626,4.2491873609703695e-18,26.666666666666668,46.18802153517006,0.011554015020219527,0.020012141046434166,0.0625,0.10825317547305482,0.07142857142857142,0.12371791482634838,0.06666666666666667,0.11547005383792516,2,2
fedprox,Other,3,108.0,0.0,0.04679376083188908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Rent,3,401.0,0.0,0.17374350086655113,0.0,1204.0,1057.610987083625,0.5216637781629117,0.4582369961367527,0.11730494965339207,0.1016706760877474,0.5295095594347464,0.46851168124290815,0.19178623775360645,0.16651161830790354,1,1
fedprox,Salary,3,67.0,0.0,0.02902946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Savings,3,57.0,0.0,0.024696707105719237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
fedprox,Travel,3,294.0,0.0,0.12738301559792028,0.0,1.0,1.7320508075688772,0.00043327556325823227,0.0007504552892412814,0.0,0.0,0.0,0.0,0.0,0.0,2,3
fedprox,Utilities,3,233.0,0.0,0.1009532062391681,0.0,346.3333333333333,599.8669296880212,0.1500577700751011,0.25990768184056373,0.02855309592556946,0.04945541285647421,0.12732474964234622,0.22053293544153085,0.046645702306079666,0.08079272634886273,2,2
proposed,Bonus,3,65.0,0.0,0.028162911611785094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Education,3,151.0,0.0,0.06542461005199307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Entertainment,3,198.0,0.0,0.08578856152512998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Food,3,500.0,0.0,0.21663778162911615,3.3993498887762956e-17,952.6666666666666,614.2738260200684,0.4127671865973426,0.2661498379636345,0.2240153617639383,0.01344185210055,0.43733333333333335,0.2904226804733634,0.2689352663088817,0.11421914444366325,0,0
proposed,Freelance,3,71.0,0.0,0.03076256499133449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Health,3,93.0,0.0,0.0402946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Investment,3,70.0,0.0,0.03032928942807626,4.2491873609703695e-18,26.666666666666668,46.18802153517006,0.011554015020219527,0.020012141046434166,0.06666666666666667,0.11547005383792516,0.07619047619047618,0.13196577581477162,0.07111111111111111,0.12316805742712018,2,2
proposed,Other,3,108.0,0.0,0.04679376083188908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
proposed,Rent,3,401.0,0.0,0.17374350086655113,0.0,986.3333333333334,992.0485539192794,0.4273541305603697,0.4298303959788905,0.1112618899917287,0.09723488063552625,0.42144638403990026,0.4470244364943508,0.17246477499878113,0.15479806409155006,1,1
proposed,Salary,3,67.0,0.0,0.02902946273830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
