method,actual,predicted,count,error_share
fedavg,Food,Rent,790,0.13923158265773705
fedavg,Travel,Rent,464,0.08177652449770885
fedavg,Rent,Food,409,0.07208318646457526
fedavg,Utilities,Rent,376,0.0662671836446951
fedavg,Entertainment,Rent,331,0.05833627070849489
fedavg,Travel,Food,303,0.05340148043708142
fedavg,Utilities,Food,234,0.0412407472682411
fedavg,Education,Rent,227,0.04000704970038774
fedavg,Food,Utilities,197,0.034719774409587595
fedavg,Entertainment,Food,181,0.03189989425449418
fedavg,Education,Food,169,0.02978498413817413
fedavg,Other,Rent,168,0.02960874162848079
fedavg,Rent,Utilities,157,0.02767007402185407
fedavg,Health,Rent,144,0.02537892139584068
fedavg,Travel,Utilities,114,0.020091646105040536
fedavg,Freelance,Rent,103,0.018152978498413817
fedavg,Investment,Rent,99,0.017448008459640466
fedavg,Health,Food,96,0.01691928093056045
fedavg,Salary,Rent,93,0.016390553401480438
fedavg,Savings,Rent,92,0.016214310891787098
fedavg,Bonus,Rent,87,0.015333098343320408
fedavg,Entertainment,Utilities,81,0.01427564328516038
fedavg,Other,Food,81,0.01427564328516038
fedavg,Other,Utilities,65,0.011455763130066972
fedavg,Education,Utilities,57,0.010045823052520268
fedavg,Investment,Utilities,55,0.009693338033133592
fedavg,Savings,Food,55,0.009693338033133592
fedavg,Freelance,Utilities,51,0.008988367994360239
fedavg,Bonus,Utilities,50,0.008812125484666901
fedavg,Salary,Utilities,50,0.008812125484666901
fedavg,Freelance,Food,49,0.008635882974973563
fedavg,Salary,Food,44,0.007754670426506873
fedavg,Investment,Food,41,0.007225942897426859
fedavg,Health,Utilities,38,0.0066972153683468455
fedavg,Bonus,Food,36,0.00634473034896017
fedavg,Savings,Utilities,24,0.0042298202326401125
fedavg,Bonus,Investment,20,0.0035248501938667607
fedavg,Salary,Investment,14,0.0024673951357067326
fedavg,Freelance,Investment,10,0.0017624250969333803
fedavg,Other,Investment,10,0.0017624250969333803
fedavg,Bonus,Travel,2,0.00035248501938667606
fedavg,Food,Investment,2,0.00035248501938667606
fedavg,Entertainment,Investment,1,0.00017624250969333803
fedavg,Food,Travel,1,0.00017624250969333803
fedavg,Health,Investment,1,0.00017624250969333803
fedavg,Rent,Investment,1,0.00017624250969333803
fedavg,Travel,Investment,1,0.00017624250969333803
fedprox,Food,Rent,792,0.13946117274167988
fedprox,Travel,Rent,464,0.08170452544462053
fedprox,Rent,Food,405,0.07131537242472266
fedprox,Utilities,Rent,377,0.06638492692375418
fedprox,Entertainment,Rent,331,0.05828490931502025
fedprox,Travel,Food,302,0.05317837647473147
fedprox,Utilities,Food,233,0.04102835006163057
fedprox,Education,Rent,227,0.03997182602570875
fedprox,Food,Utilities,201,0.035393555203380875
fedprox,Entertainment,Food,181,0.03187180841697482
fedprox,Education,Food,168,0.029582673005810883
fedprox,Other,Rent,166,0.029230498327170278
fedprox,Rent,Utilities,160,0.02817397429124846
fedprox,Health,Rent,144,0.025356576862123614
fedprox,Travel,Utilities,115,0.02025004402183483
fedprox,Freelance,Rent,103,0.018136995949991196
fedprox,Investment,Rent,100,0.017608733932030288
fedprox,Health,Food,96,0.016904384574749076
fedprox,Savings,Rent,93,0.016376122556788168
fedprox,Salary,Rent,92,0.016200035217467865
fedprox,Bonus,Rent,86,0.015143511181546047
fedprox,Entertainment,Utilities,81,0.014263074484944533
