round,validation_accuracy,validation_macro_f1,clients
1,0.048582995951417005,0.018555879055013165,150
2,0.08328513591671487,0.027127052796411064,150
3,0.11162521688837479,0.033905251375578545,150
4,0.13302486986697512,0.04350613405596085,150
5,0.1417004048582996,0.049917881613322765,150
6,0.14285714285714285,0.05118464464703199,150
7,0.1417004048582996,0.049951856535175906,150
8,0.14632735685367265,0.05285056147148491,150
9,0.14979757085020243,0.05584823431929213,150
10,0.14806246385193753,0.05550240368404314,150
