round,validation_accuracy,validation_macro_f1,clients
1,0.07692307692307693,0.028663720834061678,150
2,0.08849045691150954,0.029437089521123134,150
3,0.0989010989010989,0.03177321447992234,150
4,0.10584152689415847,0.03377424784728888,150
5,0.10757663389242336,0.036997387317574744,150
6,0.11046847888953153,0.04141621424276231,150
7,0.11162521688837479,0.04275560844385365,150
8,0.11451706188548294,0.04625082225738043,150
9,0.11914401388085599,0.053594240188532635,150
10,0.12261422787738577,0.0531146124767164,150
