round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.07518796992481203,0.016488358769394876,0.07262166405023548,0.02196986082551263,0.013336819392784164,0.07518796992481203,0.02072411102408609,0.01155438683948605,0.9247335590308396,True
2,150,30.017351069982652,0.08906882591093117,0.019492357982798705,0.08207221350078492,0.024342816795646982,0.014650684449960857,0.08906882591093117,0.022223914123474343,0.002444636807095585,0.9237824704929635,True
3,150,30.017351069982652,0.10179294389820706,0.0495045827398264,0.09119309262166406,0.03042785918452289,0.05942373976474688,0.10179294389820706,0.027770584629372756,0.014987556295046028,0.922784477913201,True
4,150,30.017351069982652,0.1064198958935801,0.05909596598690354,0.09351918282105741,0.03447495166425765,0.07061460028176626,0.1064198958935801,0.030167573322103163,0.0193035264514029,0.9217117189921256,True
5,150,30.017351069982652,0.108155002891845,0.061620486649864054,0.09355597860445954,0.03717522593866074,0.07389522061671065,0.108155002891845,0.03276572065361981,0.02065347397496344,0.9205831374270976,True
6,150,30.017351069982652,0.10989010989010989,0.06805607462559206,0.09579057658566385,0.04081154407733049,0.08016546603188794,0.10989010989010989,0.03562452988929709,0.022000772983025378,0.9193819107057427,True
7,150,30.017351069982652,0.11162521688837479,0.09039251338343261,0.09759635451813861,0.042259888994246694,0.14918597638288728,0.11162521688837479,0.038446952932463425,0.023261653534107085,0.9180861514142414,True
8,150,30.017351069982652,0.11740890688259109,0.09752662453241379,0.10753609372743181,0.05100136581164712,0.15651790885100872,0.11740890688259109,0.04581133452509296,0.02859225915287049,0.9166342234306232,True
9,150,30.017351069982652,0.12087912087912088,0.09201695740157279,0.11387711060755662,0.05412451946339903,0.14736242165391963,0.12087912087912088,0.049025646684777754,0.03148948337436757,0.9149530237677876,True
10,150,30.017351069982652,0.12608444187391557,0.09291172755253288,0.12226957528573561,0.05884763719411813,0.14923355766781568,0.12608444187391557,0.05510543808565917,0.036061133101298125,0.9130587350133315,True
