round,validation_accuracy,validation_macro_f1,clients
1,0.13765182186234817,0.03988861594157419,150
2,0.16888374783111626,0.038957738974205874,150
3,0.18392134181607867,0.04127833390627714,150
4,0.20011567379988432,0.04455596345940408,150
5,0.20936957779063042,0.0444781359719119,150
6,0.2128397917871602,0.038079638765470006,150
7,0.21573163678426838,0.03051415826867954,150
8,0.21573163678426838,0.02739122452726271,150
9,0.21688837478311163,0.027420298332845865,150
10,0.21688837478311163,0.027420298332845865,150
