round,client_id,sample_count,local_loss
1,U001,44,2.558867931365967
1,U002,50,2.5515894492467246
1,U003,42,2.5520323514938354
1,U004,63,2.5782823959986367
1,U005,51,2.554814179738363
1,U006,45,2.5674684842427573
1,U007,51,2.570451815923055
1,U008,47,2.561034361521403
1,U009,50,2.5911361376444497
1,U010,45,2.568961501121521
1,U011,49,2.566992441813151
1,U012,52,2.5683676401774087
1,U013,53,2.5847065846125283
1,U014,47,2.573232134183248
1,U015,33,2.5977943340937295
1,U016,61,2.565806190172831
1,U017,42,2.546463211377462
1,U018,47,2.560006936391195
1,U019,45,2.539185047149658
1,U020,49,2.563356399536133
1,U021,43,2.5574713150660195
1,U022,56,2.568441311518351
1,U023,52,2.561761975288391
1,U024,55,2.5725347995758057
1,U025,48,2.5583302974700928
1,U026,54,2.5592271089553833
1,U027,50,2.581578095753988
1,U028,58,2.5486708084742227
1,U029,44,2.5851676861445108
1,U030,51,2.552330652872721
1,U031,48,2.5813061793645224
1,U032,47,2.5632195472717285
1,U033,46,2.5618948141733804
1,U034,42,2.5633015235265098
1,U035,48,2.5719181299209595
1,U036,70,2.5548565122816296
1,U037,49,2.575502355893453
1,U038,58,2.5668332974116006
1,U039,48,2.5611576636632285
1,U040,52,2.555639863014221
1,U041,52,2.572463274002075
1,U042,42,2.5790595213572183
1,U043,30,2.590696334838867
1,U044,41,2.5881662368774414
1,U045,58,2.5693846146265664
1,U046,54,2.5603970686594644
1,U047,53,2.5685160954793296
1,U048,53,2.5477847258249917
1,U049,45,2.5728715658187866
1,U050,48,2.5552655855814614
1,U051,52,2.5703510443369546
1,U052,49,2.5690656503041587
1,U053,48,2.57367213567098
1,U054,46,2.5509132544199624
1,U055,50,2.557896534601847
1,U056,59,2.566328843434652
1,U057,44,2.5644325415293374
1,U058,62,2.5735722382863364
1,U059,58,2.5642031828562417
1,U060,59,2.576438784599304
1,U061,53,2.563923716545105
1,U062,48,2.5552377303441367
1,U063,56,2.5769188006718955
1,U064,53,2.577351967493693
1,U065,43,2.555370648701986
1,U066,58,2.5559900204340615
1,U067,44,2.5806010961532593
1,U068,59,2.5763120651245117
1,U069,49,2.571112076441447
1,U070,42,2.5531633297602334
1,U071,40,2.563969850540161
1,U072,60,2.562019109725952
1,U073,47,2.559175213177999
1,U074,52,2.554022709528605
1,U075,56,2.5645955403645835
1,U076,50,2.5623597304026284
1,U077,49,2.566428025563558
1,U078,63,2.5609155893325806
1,U079,57,2.5609273115793862
1,U080,49,2.5657522678375244
1,U081,41,2.5553363958994546
1,U082,38,2.5418664614359536
1,U083,47,2.5657724936803183
1,U084,55,2.5408291816711426
1,U085,50,2.5531763235727944
1,U086,51,2.5626559257507324
1,U087,46,2.5472048918406167
1,U088,58,2.576218287150065
1,U089,39,2.560805837313334
1,U090,52,2.5586413939793906
1,U091,69,2.572378238042196
1,U092,53,2.5585195223490396
1,U093,45,2.559416969617208
1,U094,64,2.57862917582194
1,U095,55,2.575408418973287
1,U096,39,2.5449671347935996
1,U097,50,2.5602708657582602
1,U098,51,2.5675398111343384
1,U099,49,2.5702545245488486
1,U100,60,2.5687868197758994
1,U101,53,2.5707435607910156
1,U102,45,2.562363862991333
1,U103,37,2.601434111595154
1,U104,54,2.5645110607147217
1,U105,46,2.559455911318461
1,U106,50,2.5840351581573486
1,U107,46,2.5754091342290244
1,U108,57,2.5672871669133506
1,U109,49,2.556101083755493
1,U110,61,2.575153350830078
1,U111,38,2.582563598950704
1,U112,49,2.5590811173121133
1,U113,47,2.567883332570394
1,U114,35,2.5518150329589844
1,U115,55,2.5829374392827353
1,U116,57,2.5760133266448975
1,U117,56,2.5568281014760337
1,U118,35,2.5619680484135947
1,U119,61,2.5669485330581665
1,U120,39,2.5996822913487754
1,U121,49,2.5690627892812095
1,U122,53,2.566020131111145
1,U123,44,2.572945992151896
1,U124,54,2.552857438723246
1,U125,48,2.561685482660929
1,U126,45,2.570446332295736
1,U127,41,2.564418832461039
1,U128,60,2.576400399208069
1,U129,51,2.5722453196843467
1,U130,56,2.5561227798461914
1,U131,62,2.5706104834874473
1,U132,48,2.5621444384256997
1,U133,36,2.5935789744059243
1,U134,55,2.5773936907450357
1,U135,44,2.5375935236612954
1,U136,50,2.5784101486206055
1,U137,56,2.565028707186381
1,U138,53,2.56682554880778
1,U139,52,2.5571006139119468
1,U140,51,2.5216299295425415
1,U141,54,2.5669204791386924
1,U142,47,2.5529181957244873
1,U143,45,2.5722709496816
1,U144,41,2.560897707939148
1,U145,44,2.5868080457051597
1,U146,50,2.5696794589360556
1,U147,50,2.5714701811472573
1,U148,54,2.556346853574117
1,U149,55,2.5660372177759805
1,U150,48,2.5553050438563027
2,U001,44,2.546676993370056
2,U002,50,2.5296568075815835
2,U003,42,2.5355664491653442
2,U004,63,2.552317182223002
2,U005,51,2.5297516187032065
2,U006,45,2.5478225549062095
2,U007,51,2.5462726751963296
2,U008,47,2.5422797203063965
2,U009,50,2.5652040243148804
2,U010,45,2.5505144596099854
2,U011,49,2.5531630516052246
2,U012,52,2.541738271713257
2,U013,53,2.5607353846232095
2,U014,47,2.5531623363494873
2,U015,33,2.5499755144119263
2,U016,61,2.5401240984598794
2,U017,42,2.5201619466145835
2,U018,47,2.5441978772481284
2,U019,45,2.5110615491867065
2,U020,49,2.527467687924703
2,U021,43,2.55066986878713
2,U022,56,2.54336949189504
2,U023,52,2.5401896635691323
2,U024,55,2.5469226042429605
2,U025,48,2.5419383446375527
2,U026,54,2.5245543718338013
2,U027,50,2.558698376019796
2,U028,58,2.5193727811177573
2,U029,44,2.5677427450815835
2,U030,51,2.5379459460576377
2,U031,48,2.561912218729655
2,U032,47,2.5517716805140176
2,U033,46,2.5377234617869058
2,U034,42,2.5565640528996787
2,U035,48,2.537198066711426
2,U036,70,2.528583367665609
2,U037,49,2.56020724773407
2,U038,58,2.5450632572174072
2,U039,48,2.5251556237538657
2,U040,52,2.534522215525309
2,U041,52,2.5449553728103638
2,U042,42,2.550270954767863
2,U043,30,2.5630249977111816
2,U044,41,2.5648579200108848
2,U045,58,2.5492887099583945
2,U046,54,2.538182854652405
2,U047,53,2.5458507537841797
2,U048,53,2.5196274518966675
2,U049,45,2.5548129876454673
2,U050,48,2.5188005367914834
2,U051,52,2.5600616931915283
2,U052,49,2.544244726498922
2,U053,48,2.5434871514638266
2,U054,46,2.517310380935669
2,U055,50,2.535047968228658
2,U056,59,2.5448983112970986
2,U057,44,2.55063796043396
2,U058,62,2.5494198004404702
2,U059,58,2.5427099466323853
2,U060,59,2.545182188351949
2,U061,53,2.5430322885513306
2,U062,48,2.533021012941996
2,U063,56,2.5580803950627646
2,U064,53,2.557634115219116
2,U065,43,2.5469194253285727
2,U066,58,2.5341116189956665
2,U067,44,2.545265038808187
2,U068,59,2.556326071421305
2,U069,49,2.547735611597697
2,U070,42,2.5411236683527627
2,U071,40,2.5483858585357666
2,U072,60,2.539126714070638
2,U073,47,2.543708086013794
2,U074,52,2.530241052309672
2,U075,56,2.541116197903951
2,U076,50,2.5400747458140054
2,U077,49,2.536839405695597
2,U078,63,2.5409297545750937
2,U079,57,2.532770276069641
2,U080,49,2.546492656071981
2,U081,41,2.527931054433187
2,U082,38,2.500376025835673
2,U083,47,2.551282525062561
2,U084,55,2.525201757748922
2,U085,50,2.5317952235539756
2,U086,51,2.5452382564544678
2,U087,46,2.5301721890767417
2,U088,58,2.5420137643814087
2,U089,39,2.549390991528829
2,U090,52,2.5292623043060303
2,U091,69,2.557737853791979
2,U092,53,2.532894770304362
2,U093,45,2.539944847424825
2,U094,64,2.558159669240316
2,U095,55,2.5541374683380127
2,U096,39,2.522130846977234
2,U097,50,2.5374617179234824
2,U098,51,2.545338193575541
2,U099,49,2.5459303855895996
2,U100,60,2.5400600830713906
2,U101,53,2.5547714233398438
2,U102,45,2.5426639318466187
2,U103,37,2.567317525545756
2,U104,54,2.5416650772094727
2,U105,46,2.5486876567204795
2,U106,50,2.5671574672063193
2,U107,46,2.55603297551473
2,U108,57,2.546273390452067
2,U109,49,2.5398884614308677
2,U110,61,2.551517446835836
2,U111,38,2.5483647187550864
2,U112,49,2.529033144315084
2,U113,47,2.5473214785257974
2,U114,35,2.5366970698038735
2,U115,55,2.567915399869283
2,U116,57,2.5474154154459634
2,U117,56,2.5377413034439087
2,U118,35,2.5263089338938394
2,U119,61,2.541919390360514
2,U120,39,2.5754929383595786
2,U121,49,2.563704570134481
2,U122,53,2.5477446715037027
2,U123,44,2.551853617032369
2,U124,54,2.5401721000671387
2,U125,48,2.5398064057032266
2,U126,45,2.550729751586914
2,U127,41,2.5437039931615195
2,U128,60,2.548447092374166
2,U129,51,2.5500245491663613
2,U130,56,2.530716816584269
2,U131,62,2.5430753231048584
2,U132,48,2.5493952433268228
2,U133,36,2.5700945456822715
2,U134,55,2.542100270589193
2,U135,44,2.5327104330062866
2,U136,50,2.552196502685547
2,U137,56,2.549126466115316
2,U138,53,2.5476654370625815
2,U139,52,2.5368099212646484
2,U140,51,2.497120181719462
2,U141,54,2.5433067083358765
2,U142,47,2.546602964401245
2,U143,45,2.5441133975982666
2,U144,41,2.5505144198735556
2,U145,44,2.542138655980428
2,U146,50,2.5453861157099404
2,U147,50,2.5507755676905313
2,U148,54,2.5437615315119424
2,U149,55,2.5432207187016806
2,U150,48,2.548877755800883
3,U001,44,2.5166998704274497
3,U002,50,2.513556480407715
3,U003,42,2.489514867464701
3,U004,63,2.5230590105056763
3,U005,51,2.4888872702916465
3,U006,45,2.5189229249954224
3,U007,51,2.5250213543574014
3,U008,47,2.5216336250305176
3,U009,50,2.528389851252238
3,U010,45,2.525067130724589
3,U011,49,2.5290473302205405
3,U012,52,2.514060934384664
3,U013,53,2.5419846375783286
3,U014,47,2.5322804848353067
3,U015,33,2.523603081703186
3,U016,61,2.5171941916147866
3,U017,42,2.5138413508733115
3,U018,47,2.5110082626342773
3,U019,45,2.495868523915609
3,U020,49,2.5034419695536294
3,U021,43,2.5298999547958374
3,U022,56,2.5159469842910767
3,U023,52,2.5067684253056846
3,U024,55,2.5318968296051025
3,U025,48,2.533059994379679
3,U026,54,2.496346910794576
3,U027,50,2.542387088139852
3,U028,58,2.5007565021514893
3,U029,44,2.563530762990316
3,U030,51,2.5252923568089805
3,U031,48,2.5385306676228843
3,U032,47,2.523359934488932
3,U033,46,2.501600901285807
3,U034,42,2.5399750471115112
3,U035,48,2.5143726666768393
3,U036,70,2.497271352344089
3,U037,49,2.5373507738113403
3,U038,58,2.5172555446624756
3,U039,48,2.5075331131617227
3,U040,52,2.5125131209691367
3,U041,52,2.513158996899923
3,U042,42,2.5322135289510093
3,U043,30,2.5294732252756753
3,U044,41,2.517661531766256
3,U045,58,2.5249913136164346
3,U046,54,2.5179386933644614
3,U047,53,2.5227855443954468
3,U048,53,2.5006868044535318
3,U049,45,2.5274840593338013
3,U050,48,2.48928964138031
3,U051,52,2.5621465841929116
3,U052,49,2.5190271139144897
3,U053,48,2.512236714363098
3,U054,46,2.4994455575942993
3,U055,50,2.5141446193059287
3,U056,59,2.5153141419092813
3,U057,44,2.534856637318929
3,U058,62,2.519849499066671
3,U059,58,2.510835886001587
3,U060,59,2.517841100692749
3,U061,53,2.520620067914327
3,U062,48,2.511799971262614
3,U063,56,2.5388599236806235
3,U064,53,2.535841385523478
3,U065,43,2.5223599672317505
3,U066,58,2.5118852456410727
3,U067,44,2.5117644468943277
3,U068,59,2.5242391427357993
3,U069,49,2.521244446436564
3,U070,42,2.502681533495585
3,U071,40,2.54922886689504
3,U072,60,2.5195886294047036
3,U073,47,2.5275328954060874
3,U074,52,2.5077988306681314
3,U075,56,2.5052292346954346
3,U076,50,2.518420139948527
3,U077,49,2.5260289907455444
3,U078,63,2.5130666891733804
3,U079,57,2.505825400352478
3,U080,49,2.5242738326390586
3,U081,41,2.5004311005274453
3,U082,38,2.4831913709640503
3,U083,47,2.515594800313314
3,U084,55,2.510045131047567
3,U085,50,2.5002501010894775
3,U086,51,2.518220861752828
3,U087,46,2.498538096745809
3,U088,58,2.5084384282430015
3,U089,39,2.523692766825358
3,U090,52,2.5141045649846396
3,U091,69,2.535313500298394
3,U092,53,2.517861763636271
3,U093,45,2.522595842679342
3,U094,64,2.535853862762451
3,U095,55,2.5312311251958213
3,U096,39,2.4983576933542886
3,U097,50,2.513044993082682
3,U098,51,2.51990016301473
3,U099,49,2.5131158034006753
3,U100,60,2.5132060845692954
3,U101,53,2.530511736869812
3,U102,45,2.5231242179870605
3,U103,37,2.5511264403661094
3,U104,54,2.5103266636530557
3,U105,46,2.522216796875
3,U106,50,2.531670173009237
3,U107,46,2.537632942199707
3,U108,57,2.5300126870473227
3,U109,49,2.5094950993855796
3,U110,61,2.512965361277262
3,U111,38,2.519367059071859
3,U112,49,2.5000929832458496
3,U113,47,2.526785651842753
3,U114,35,2.4963167111078897
3,U115,55,2.54394793510437
3,U116,57,2.513785799344381
3,U117,56,2.5150959491729736
3,U118,35,2.4898722569147744
3,U119,61,2.5203911860783896
3,U120,39,2.55303688844045
3,U121,49,2.5266760190327964
3,U122,53,2.5172400871912637
3,U123,44,2.537362058957418
3,U124,54,2.523702104886373
3,U125,48,2.511335611343384
3,U126,45,2.528846025466919
3,U127,41,2.517334500948588
3,U128,60,2.5174612998962402
3,U129,51,2.5195267597834268
3,U130,56,2.507890264193217
3,U131,62,2.5216152667999268
3,U132,48,2.5240201155344644
3,U133,36,2.559892018636068
3,U134,55,2.506959637006124
3,U135,44,2.5022369623184204
3,U136,50,2.518946806589762
3,U137,56,2.524587074915568
3,U138,53,2.517857074737549
3,U139,52,2.5174474716186523
3,U140,51,2.490783452987671
3,U141,54,2.520766297976176
3,U142,47,2.531945586204529
3,U143,45,2.533149321873983
3,U144,41,2.539453148841858
3,U145,44,2.515179673830668
3,U146,50,2.5200067361195884
3,U147,50,2.530439257621765
3,U148,54,2.5331381956736245
3,U149,55,2.519425352414449
3,U150,48,2.5344831546147666
4,U001,44,2.483773668607076
4,U002,50,2.502614219983419
4,U003,42,2.4590563774108887
4,U004,63,2.4970033963521323
4,U005,51,2.4638039271036782
4,U006,45,2.497549057006836
4,U007,51,2.506842613220215
4,U008,47,2.4924014806747437
4,U009,50,2.490371028582255
4,U010,45,2.499810735384623
4,U011,49,2.50459353129069
4,U012,52,2.476334571838379
4,U013,53,2.5173094669977822
4,U014,47,2.5123616059621177
4,U015,33,2.509778102238973
4,U016,61,2.488996426264445
4,U017,42,2.4932661056518555
4,U018,47,2.483649810155233
4,U019,45,2.4658185243606567
4,U020,49,2.447701096534729
4,U021,43,2.4945693810780845
4,U022,56,2.489930192629496
4,U023,52,2.4742324352264404
4,U024,55,2.5002185106277466
4,U025,48,2.489237348238627
4,U026,54,2.4621116320292153
4,U027,50,2.509885231653849
4,U028,58,2.463097890218099
4,U029,44,2.5414229234059653
4,U030,51,2.485113342603048
4,U031,48,2.52247687180837
4,U032,47,2.5054838260014853
4,U033,46,2.464054902394613
4,U034,42,2.5454386870066323
4,U035,48,2.4868315060933432
4,U036,70,2.462881220711602
4,U037,49,2.516867518424988
4,U038,58,2.4854684273401895
4,U039,48,2.4760629336039224
4,U040,52,2.4756670395533242
4,U041,52,2.4840660889943442
4,U042,42,2.5008601347605386
4,U043,30,2.4838551680246987
4,U044,41,2.4736421505610147
4,U045,58,2.4944425026575723
4,U046,54,2.496718168258667
4,U047,53,2.4998181660970054
4,U048,53,2.473452091217041
4,U049,45,2.504805008570353
4,U050,48,2.467497706413269
4,U051,52,2.551951249440511
4,U052,49,2.5007176796595254
4,U053,48,2.4723443587621055
4,U054,46,2.4582117795944214
4,U055,50,2.4764804442723594
4,U056,59,2.4828933477401733
4,U057,44,2.5039164622624717
4,U058,62,2.5014761288960776
4,U059,58,2.475898782412211
4,U060,59,2.496708114941915
4,U061,53,2.486837108929952
4,U062,48,2.4822415908177695
4,U063,56,2.5121395190556846
4,U064,53,2.510954221089681
4,U065,43,2.491319259007772
4,U066,58,2.4832601149876914
4,U067,44,2.4836533069610596
4,U068,59,2.4857277870178223
4,U069,49,2.494609991709391
4,U070,42,2.4645229975382485
4,U071,40,2.513829787572225
4,U072,60,2.4917596181233725
4,U073,47,2.4898820320765176
4,U074,52,2.469641089439392
4,U075,56,2.478906989097595
4,U076,50,2.482955813407898
4,U077,49,2.4853357474009194
4,U078,63,2.4753321409225464
4,U079,57,2.474897265434265
4,U080,49,2.4971832831700644
4,U081,41,2.4667242765426636
4,U082,38,2.4691724379857383
4,U083,47,2.4829667806625366
4,U084,55,2.4860554138819375
4,U085,50,2.4763296842575073
4,U086,51,2.47319503625234
4,U087,46,2.4673431714375815
4,U088,58,2.476786971092224
4,U089,39,2.4993537267049155
4,U090,52,2.489906112353007
4,U091,69,2.4960200786590576
4,U092,53,2.488692283630371
4,U093,45,2.4895148277282715
4,U094,64,2.5054722229639688
4,U095,55,2.498873233795166
4,U096,39,2.469615856806437
4,U097,50,2.4875362316767373
4,U098,51,2.4805828332901
4,U099,49,2.471282124519348
4,U100,60,2.4835434357325235
4,U101,53,2.4917836586634317
4,U102,45,2.489901065826416
4,U103,37,2.5390048027038574
4,U104,54,2.469961643218994
4,U105,46,2.501459757486979
4,U106,50,2.498806118965149
4,U107,46,2.4999660650889077
4,U108,57,2.509695609410604
4,U109,49,2.483245094617208
4,U110,61,2.4725484053293862
4,U111,38,2.497360110282898
4,U112,49,2.470993002255758
4,U113,47,2.498555342356364
4,U114,35,2.4474363327026367
4,U115,55,2.5058101812998452
4,U116,57,2.4898189306259155
4,U117,56,2.4737600485483804
4,U118,35,2.421119729677836
4,U119,61,2.4994489351908364
4,U120,39,2.48057222366333
4,U121,49,2.499890605608622
4,U122,53,2.4923129876454673
4,U123,44,2.506645758946737
4,U124,54,2.4899928172429404
4,U125,48,2.473867972691854
4,U126,45,2.4926098187764487
4,U127,41,2.4941543340682983
4,U128,60,2.488308866818746
4,U129,51,2.5131080945332847
4,U130,56,2.4802929957707724
4,U131,62,2.4856783151626587
4,U132,48,2.511996070543925
4,U133,36,2.5431594848632812
4,U134,55,2.4655406872431436
4,U135,44,2.47781765460968
4,U136,50,2.476091980934143
4,U137,56,2.488448182741801
4,U138,53,2.4860527515411377
4,U139,52,2.4825371503829956
4,U140,51,2.4738794962565103
4,U141,54,2.4793988863627114
4,U142,47,2.505927085876465
4,U143,45,2.5014703273773193
4,U144,41,2.5209970474243164
4,U145,44,2.4652673403422036
4,U146,50,2.4893404642740884
4,U147,50,2.5107071002324424
4,U148,54,2.508385260899862
4,U149,55,2.4900901714960733
4,U150,48,2.513834555943807
5,U001,44,2.460959037144979
5,U002,50,2.4687771797180176
5,U003,42,2.4269917805989585
5,U004,63,2.44771675268809
5,U005,51,2.4174781243006387
5,U006,45,2.484656731287638
5,U007,51,2.4775948921839395
5,U008,47,2.4776483376820884
5,U009,50,2.42870299021403
5,U010,45,2.4769639571507773
5,U011,49,2.47077206770579
5,U012,52,2.428204576174418
5,U013,53,2.4928892453511557
5,U014,47,2.478941718737284
5,U015,33,2.488053282101949
5,U016,61,2.4510489304860434
5,U017,42,2.4481393893559775
5,U018,47,2.4382482369740806
5,U019,45,2.4278724193573
5,U020,49,2.389463702837626
5,U021,43,2.4633343617121377
5,U022,56,2.4640721877415976
5,U023,52,2.4441998402277627
5,U024,55,2.4548717737197876
5,U025,48,2.4710871378580728
5,U026,54,2.422385255495707
5,U027,50,2.4753482341766357
5,U028,58,2.4280988772710166
5,U029,44,2.5149224599202475
5,U030,51,2.4582006533940635
5,U031,48,2.5052791436513266
