round,client_id,sample_count,local_loss
1,U001,44,2.5647708972295127
1,U002,50,2.553494850794474
1,U003,42,2.566836953163147
1,U004,63,2.5540884335835776
1,U005,51,2.569761355717977
1,U006,45,2.5500857830047607
1,U007,51,2.5582301219304404
1,U008,47,2.565821329752604
1,U009,50,2.558720111846924
1,U010,45,2.5669049819310508
1,U011,49,2.5708496967951455
1,U012,52,2.5754700104395547
1,U013,53,2.5624019304911294
1,U014,47,2.578062097231547
1,U015,33,2.565149108568827
1,U016,61,2.562587340672811
1,U017,42,2.541314959526062
1,U018,47,2.5738287766774497
1,U019,45,2.5641313791275024
1,U020,49,2.5591051975886026
1,U021,43,2.551614244778951
1,U022,56,2.5775904655456543
1,U023,52,2.5750282605489097
1,U024,55,2.5761054356892905
1,U025,48,2.5590069691340127
1,U026,54,2.5670735041300454
1,U027,50,2.5562965075174966
1,U028,58,2.5736300547917685
1,U029,44,2.5420497258504233
1,U030,51,2.5723670721054077
1,U031,48,2.572778344154358
1,U032,47,2.569299499193827
1,U033,46,2.570163369178772
1,U034,42,2.562605698903402
1,U035,48,2.5772551695505777
1,U036,70,2.5524276627434626
1,U037,49,2.5633908907572427
1,U038,58,2.566799759864807
1,U039,48,2.5802456537882485
1,U040,52,2.5672099590301514
1,U041,52,2.5611545642217
1,U042,42,2.566972255706787
1,U043,30,2.566171407699585
1,U044,41,2.564089377721151
1,U045,58,2.561121106147766
1,U046,54,2.5602203607559204
1,U047,53,2.556620240211487
1,U048,53,2.567038973172506
1,U049,45,2.5585778951644897
1,U050,48,2.562603712081909
1,U051,52,2.549307386080424
1,U052,49,2.571047067642212
1,U053,48,2.555750052134196
1,U054,46,2.579468091328939
1,U055,50,2.5704379081726074
1,U056,59,2.561214049657186
1,U057,44,2.576518098513285
1,U058,62,2.552027622858683
1,U059,58,2.57036558787028
1,U060,59,2.571264386177063
1,U061,53,2.5590110222498574
1,U062,48,2.563815395037333
1,U063,56,2.571973204612732
1,U064,53,2.5634659926096597
1,U065,43,2.590095321337382
1,U066,58,2.5762337843577066
1,U067,44,2.552943706512451
1,U068,59,2.5653417110443115
1,U069,49,2.5599369605382285
1,U070,42,2.5710568030675254
1,U071,40,2.560112476348877
1,U072,60,2.561088800430298
1,U073,47,2.5558942953745523
1,U074,52,2.574833869934082
1,U075,56,2.5633785327275596
1,U076,50,2.5671702226003013
1,U077,49,2.557927052179972
1,U078,63,2.5540910561879477
1,U079,57,2.558233141899109
1,U080,49,2.5637559493382773
1,U081,41,2.565348505973816
1,U082,38,2.570379654566447
1,U083,47,2.5691996415456138
1,U084,55,2.564088781674703
1,U085,50,2.5699123541514077
1,U086,51,2.5574782689412436
1,U087,46,2.539178649584452
1,U088,58,2.5559093952178955
1,U089,39,2.548668543497721
1,U090,52,2.5645442406336465
1,U091,69,2.564251263936361
1,U092,53,2.5746992031733194
1,U093,45,2.556791583697001
1,U094,64,2.5715920527776084
1,U095,55,2.5808172623316445
1,U096,39,2.54289182027181
1,U097,50,2.569306969642639
1,U098,51,2.562002936999003
1,U099,49,2.5548499822616577
1,U100,60,2.5504520734151206
1,U101,53,2.568783760070801
1,U102,45,2.5617544253667197
1,U103,37,2.5596401691436768
1,U104,54,2.5676685174306235
1,U105,46,2.5700225830078125
1,U106,50,2.56961182753245
1,U107,46,2.552127480506897
1,U108,57,2.5697418451309204
1,U109,49,2.5597592989603677
1,U110,61,2.5602384010950723
1,U111,38,2.569106340408325
1,U112,49,2.568624496459961
1,U113,47,2.5583548148473105
1,U114,35,2.555537223815918
1,U115,55,2.5532590548197427
1,U116,57,2.54339599609375
1,U117,56,2.5694724321365356
1,U118,35,2.580275774002075
1,U119,61,2.5597689151763916
1,U120,39,2.567143122355143
1,U121,49,2.554409702618917
1,U122,53,2.5735841194788613
1,U123,44,2.5597386757532754
1,U124,54,2.581197222073873
1,U125,48,2.5657801628112793
1,U126,45,2.5733026266098022
1,U127,41,2.5714833736419678
1,U128,60,2.5741051038106284
1,U129,51,2.5534462134043374
1,U130,56,2.5571455558141074
1,U131,62,2.566235582033793
1,U132,48,2.5537983576456704
1,U133,36,2.5248583952585855
1,U134,55,2.5606446663538613
1,U135,44,2.568121314048767
1,U136,50,2.565640648206075
1,U137,56,2.556316693623861
1,U138,53,2.5611979166666665
1,U139,52,2.569146712621053
1,U140,51,2.5772472620010376
1,U141,54,2.5492508808771768
1,U142,47,2.571271459261576
1,U143,45,2.560174028078715
1,U144,41,2.5503353675206504
1,U145,44,2.5634981393814087
1,U146,50,2.5627415974934897
1,U147,50,2.5539616346359253
1,U148,54,2.5574518839518228
1,U149,55,2.569186528523763
1,U150,48,2.5638754765192666
2,U001,44,2.5348019202550254
2,U002,50,2.5515122413635254
2,U003,42,2.5499870777130127
2,U004,63,2.5303598642349243
2,U005,51,2.5450459718704224
2,U006,45,2.5348775386810303
2,U007,51,2.539519190788269
2,U008,47,2.547259052594503
2,U009,50,2.5295682748158774
2,U010,45,2.5563577810923257
2,U011,49,2.5532899697621665
2,U012,52,2.548116445541382
2,U013,53,2.552074909210205
2,U014,47,2.559042533238729
2,U015,33,2.566374897956848
2,U016,61,2.539336403210958
2,U017,42,2.516038099924723
2,U018,47,2.545695503552755
2,U019,45,2.5316965182622275
2,U020,49,2.528028686841329
2,U021,43,2.554585814476013
2,U022,56,2.551648736000061
2,U023,52,2.5478845834732056
2,U024,55,2.5538702408472695
2,U025,48,2.5393903652826944
2,U026,54,2.541131933530172
2,U027,50,2.542367855707804
2,U028,58,2.5549991528193154
2,U029,44,2.5257338682810464
2,U030,51,2.552167057991028
2,U031,48,2.5599979956944785
2,U032,47,2.5507084925969443
2,U033,46,2.5350515445073447
2,U034,42,2.559077421824137
2,U035,48,2.55072557926178
2,U036,70,2.541134410434299
2,U037,49,2.5421242316563926
2,U038,58,2.5474754571914673
2,U039,48,2.559757630030314
2,U040,52,2.5524969498316445
2,U041,52,2.546589652697245
2,U042,42,2.5304142236709595
2,U043,30,2.538621664047241
2,U044,41,2.5381129582722983
2,U045,58,2.5460670789082847
2,U046,54,2.544292410214742
2,U047,53,2.548132340113322
2,U048,53,2.543728788693746
2,U049,45,2.5432719389597573
2,U050,48,2.534346421559652
2,U051,52,2.546099583307902
2,U052,49,2.547773241996765
2,U053,48,2.534612019856771
2,U054,46,2.5467384258906045
2,U055,50,2.543292284011841
2,U056,59,2.536695917447408
2,U057,44,2.5483794609705606
2,U058,62,2.537732720375061
2,U059,58,2.549597223599752
2,U060,59,2.551496942838033
2,U061,53,2.5407164891560874
2,U062,48,2.5398137966791787
2,U063,56,2.547168215115865
2,U064,53,2.5405927896499634
2,U065,43,2.563541134198507
2,U066,58,2.5561047792434692
2,U067,44,2.541973829269409
2,U068,59,2.542771657307943
2,U069,49,2.5436860720316568
2,U070,42,2.55737312634786
2,U071,40,2.5328498681386313
2,U072,60,2.5339395999908447
2,U073,47,2.545268177986145
2,U074,52,2.5478429794311523
2,U075,56,2.5424490769704184
2,U076,50,2.5437879959742227
2,U077,49,2.539235750834147
2,U078,63,2.5315202871958413
2,U079,57,2.536971926689148
2,U080,49,2.54385499159495
2,U081,41,2.54351540406545
2,U082,38,2.566540797551473
2,U083,47,2.5449284315109253
2,U084,55,2.547304113705953
2,U085,50,2.545938730239868
2,U086,51,2.5363911787668862
2,U087,46,2.532003323237101
2,U088,58,2.531325896581014
2,U089,39,2.5414505004882812
2,U090,52,2.5426530043284097
2,U091,69,2.540527688132392
2,U092,53,2.558971643447876
2,U093,45,2.5454562505086265
2,U094,64,2.555679202079773
2,U095,55,2.554350733757019
2,U096,39,2.522822300593058
2,U097,50,2.5441612799962363
2,U098,51,2.5357819398244223
2,U099,49,2.532992124557495
2,U100,60,2.53452197710673
2,U101,53,2.5522499879201255
2,U102,45,2.5462222894032798
2,U103,37,2.5472466150919595
2,U104,54,2.5344632863998413
2,U105,46,2.5452603896458945
2,U106,50,2.5557525157928467
2,U107,46,2.5345794359842935
2,U108,57,2.5508384704589844
2,U109,49,2.546448270479838
2,U110,61,2.538168032964071
2,U111,38,2.545804778734843
2,U112,49,2.5471195379892984
2,U113,47,2.539347688357035
2,U114,35,2.5355151494344077
2,U115,55,2.537718574206034
2,U116,57,2.5242770512898765
2,U117,56,2.547165036201477
2,U118,35,2.5490611791610718
2,U119,61,2.544562657674154
2,U120,39,2.5355501969655356
2,U121,49,2.5392692486445108
2,U122,53,2.5575219790140786
2,U123,44,2.534169554710388
2,U124,54,2.559968948364258
2,U125,48,2.5473190546035767
2,U126,45,2.549267888069153
2,U127,41,2.5501044193903604
2,U128,60,2.548076351483663
2,U129,51,2.5361393292744956
2,U130,56,2.5358172257741294
2,U131,62,2.5439055363337197
2,U132,48,2.532607833544413
2,U133,36,2.5425363381703696
2,U134,55,2.5322664181391397
2,U135,44,2.562093416849772
2,U136,50,2.531664331754049
2,U137,56,2.5342098474502563
2,U138,53,2.540046135584513
2,U139,52,2.5460421244303384
2,U140,51,2.5575621525446572
2,U141,54,2.5266361236572266
2,U142,47,2.5582187175750732
2,U143,45,2.558160583178202
2,U144,41,2.5371152559916177
