round,validation_accuracy,validation_macro_f1,clients
1,0.031231925968768073,0.005509138344715216,150
2,0.061307113938692884,0.01927070193504167,150
3,0.18681318681318682,0.054203952736293755,150
4,0.19895893580104107,0.04411010602559254,150
5,0.21052631578947367,0.039169475975703485,150
6,0.21341816078658185,0.03065915158323568,150
7,0.21688837478311163,0.027498716726552762,150
8,0.21688837478311163,0.027433336991111598,150
9,0.21688837478311163,0.027420298332845865,150
10,0.21688837478311163,0.027420298332845865,150
