comparison,metric,label_a,label_b,paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,difference_sd,ci95_lower,ci95_upper,paired_effect_dz,wins_a,ties,exact_sign_flip_p
fedavg: class_weighted vs standard,accuracy,fedavg_class_weighted,fedavg_standard,3,0.1478913922588099,0.18053148469093006,-0.03264009243212017,0.029641664529828745,-0.10627406912971987,0.040993884265479535,-1.1011558544316589,0,0,0.25
fedavg: class_weighted vs standard,macro_f1,fedavg_class_weighted,fedavg_standard,3,0.062317507218525026,0.04271586942988023,0.019601637788644797,0.020398560446140204,-0.03107119548103072,0.07027447105832031,0.9609324069902099,2,0,0.5
fedavg: class_weighted vs standard,weighted_f1,fedavg_class_weighted,fedavg_standard,3,0.08585635510581772,0.09379173625232855,-0.007935381146510804,0.04992947057700262,-0.13196706193457153,0.11609629964154992,-0.15893181030775477,1,0,0.75
fedavg: class_weighted vs standard,ece,fedavg_class_weighted,fedavg_standard,3,0.0582364340302556,0.08517239483397239,-0.026935960803716796,0.030025663347830328,-0.10152384344638178,0.04765192183894819,-0.8970979422395744,2,0,0.5
fedavg: class_weighted vs standard,brier_score,fedavg_class_weighted,fedavg_standard,3,0.913212436566007,0.9114153020466716,0.0017971345193354231,0.004524721804940636,-0.009442897551496632,0.013037166590167477,0.3971812183840994,1,0,0.75
fedavg: class_weighted vs standard,zero_recall_classes,fedavg_class_weighted,fedavg_standard,3,7.666666666666667,10.666666666666666,-3.0,1.0,-5.48413771175033,-0.5158622882496697,-3.0,3,0,0.25
fedavg: class_weighted vs standard,active_prediction_classes,fedavg_class_weighted,fedavg_standard,3,6.0,2.6666666666666665,3.3333333333333335,2.081665999466133,-1.8378116792089298,8.504478345875597,1.6012815380508711,3,0,0.25
fedprox: class_weighted vs standard,accuracy,fedprox_class_weighted,fedprox_standard,3,0.14904679376083182,0.1798093587521663,-0.030762564991334503,0.028222839851795967,-0.10087198579987097,0.03934685581720196,-1.0899882914999044,0,1,0.5
fedprox: class_weighted vs standard,macro_f1,fedprox_class_weighted,fedprox_standard,3,0.06486457027953828,0.042363010935113195,0.022501559344425066,0.0190561116434093,-0.024836446228292532,0.06983956491714266,1.1808053901808138,3,0,0.25
fedprox: class_weighted vs standard,weighted_f1,fedprox_class_weighted,fedprox_standard,3,0.08766519004866528,0.093263286117088,-0.005598096068422732,0.049293892562733886,-0.1280509135424791,0.11685472140563363,-0.11356571326353085,1,0,1.0
fedprox: class_weighted vs standard,ece,fedprox_class_weighted,fedprox_standard,3,0.059573216470316694,0.08472671948915649,-0.025153503018839767,0.028767050006851116,-0.09661481679666621,0.04630781075898667,-0.8743859037631334,2,0,0.5
fedprox: class_weighted vs standard,brier_score,fedprox_class_weighted,fedprox_standard,3,0.9131859787465939,0.9114458673661368,0.0017401113804570805,0.005828670807265042,-0.012739109581248251,0.016219332342162412,0.29854343091192415,2,0,1.0
fedprox: class_weighted vs standard,zero_recall_classes,fedprox_class_weighted,fedprox_standard,3,7.666666666666667,10.666666666666666,-3.0,1.0,-5.48413771175033,-0.5158622882496697,-3.0,3,0,0.25
fedprox: class_weighted vs standard,active_prediction_classes,fedprox_class_weighted,fedprox_standard,3,6.333333333333333,2.6666666666666665,3.6666666666666665,2.5166114784235836,-2.584942812709109,9.918276146042443,1.456985592771548,3,0,0.25
proposed: class_weighted vs standard,accuracy,proposed_class_weighted,proposed_standard,3,0.1502021952628538,0.1837088388214904,-0.0335066435586366,0.02945742807346459,-0.10668295152710286,0.039669664409829664,-1.1374599124904445,1,0,0.5
proposed: class_weighted vs standard,macro_f1,proposed_class_weighted,proposed_standard,3,0.06609038846166267,0.043183288277838495,0.022907100183824164,0.01700466666841222,-0.019334833562922475,0.06514903393057081,1.347106687270517,3,0,0.25
proposed: class_weighted vs standard,weighted_f1,proposed_class_weighted,proposed_standard,3,0.08716286442720415,0.09511852143533861,-0.007955657008134465,0.052033512028504134,-0.137214066512956,0.12130275249668707,-0.1528948690562407,1,0,1.0
proposed: class_weighted vs standard,ece,proposed_class_weighted,proposed_standard,3,0.06038656503990817,0.08473777633799524,-0.024351211298087067,0.027327788940606716,-0.09223720238420181,0.04353477978802768,-0.8910787239688933,2,0,0.5
proposed: class_weighted vs standard,brier_score,proposed_class_weighted,proposed_standard,3,0.912426425111963,0.9096970189763601,0.0027294061356028707,0.008225039213958467,-0.01770272395641665,0.02316153622762239,0.3318411091549421,2,0,1.0
proposed: class_weighted vs standard,zero_recall_classes,proposed_class_weighted,proposed_standard,3,7.666666666666667,10.666666666666666,-3.0,1.0,-5.48413771175033,-0.5158622882496697,-3.0,3,0,0.25
proposed: class_weighted vs standard,active_prediction_classes,proposed_class_weighted,proposed_standard,3,6.333333333333333,2.3333333333333335,4.0,2.0,-0.9682754235006605,8.96827542350066,2.0,3,0,0.25
